Geo Point,Geo Shape,gares_id,nom_long,id_ref_ZdA,nom_ZdA,res_com,mode_,Latitude,Longitude,arrondissement,commune
"48.68101661540746, 2.533130656571037","{""coordinates"": [2.533130656571037, 48.68101661540746], ""type"": ""Point""}",105,Boussy-Saint-Antoine,47924,Boussy-Saint-Antoine,RER D,RER,48.68101661540746, 2.533130656571037,Banlieue,Boussy-Saint-Antoine
"48.60674494801255, 2.3020596915826386","{""coordinates"": [2.302059691582639, 48.60674494801255], ""type"": ""Point""}",108,Brétigny,43098,Brétigny,RER C,RER,48.60674494801255, 2.3020596915826386,Banlieue,Brétigny-sur-Orge
"49.00975645120457, 2.5612326952251054","{""coordinates"": [2.561232695225105, 49.00975645120457], ""type"": ""Point""}",743,Aéroport Charles De Gaulle 1,462398,Aéroport CDG 1 (Terminal 3) - RER,RER B,RER,49.00975645120457, 2.5612326952251054,Banlieue,Tremblay-en-France
"48.798892499145914, 2.3281369230647506","{""coordinates"": [2.328136923064751, 48.798892499145914], ""type"": ""Point""}",22,Arcueil-Cachan,43067,Arcueil - Cachan,RER B,RER,48.798892499145914, 2.3281369230647506,Banlieue,Cachan
"48.932196005027805, 2.495513142584313","{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}",956,Aulnay-sous-Bois,43071,Aulnay-sous-Bois,TRAIN K,TRAIN,48.932196005027805, 2.495513142584313,Banlieue,Aulnay-sous-Bois
"48.932196005027805, 2.495513142584313","{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}",37,Aulnay-sous-Bois,43071,Aulnay-sous-Bois,RER B,RER,48.932196005027805, 2.495513142584313,Banlieue,Aulnay-sous-Bois
"48.85364805623443, 2.2794870649625656","{""coordinates"": [2.279487064962566, 48.85364805623443], ""type"": ""Point""}",40,Avenue du Président Kennedy,45419,Avenue du Président Kennedy Maison de Radio France,RER C,RER,48.85364805623443, 2.2794870649625656,16ème Ardt,Paris
"48.533732833041356, 2.0087718138734374","{""coordinates"": [2.008771813873437, 48.533732833041356], ""type"": ""Point""}",240,Dourdan,43121,Dourdan,RER C,RER,48.533732833041356, 2.0087718138734374,Banlieue,Dourdan
"48.972749118825284, 2.3071370320715325","{""coordinates"": [2.307137032071533, 48.972749118825284], ""type"": ""Point""}",256,Enghien-Les-Bains,43075,Enghien-les-Bains,TRAIN H,TRAIN,48.972749118825284, 2.3071370320715325,Banlieue,Enghien-les-Bains
"49.04964700432274, 2.0342944618526615","{""coordinates"": [2.034294461852661, 49.04964700432274], ""type"": ""Point""}",132,Cergy-Saint-Christophe,47897,Cergy Saint-Christophe,TRAIN L,TRAIN,49.04964700432274, 2.0342944618526615,Banlieue,Cergy
