Geo Point,Geo Shape,OBJECTID,LIBELLE,CONNEX,LIGNE,Latitude,Longitude,arrondissement,commune
"48.89085479122746, 2.237688709843251","{""coordinates"": [2.237688709843251, 48.89085479122746], ""type"": ""Point""}",77,La Défense,Interconnexion,L15,48.89085479122746, 2.237688709843251,Banlieue,Puteaux
"48.914987385627605, 2.2720135095825587","{""coordinates"": [2.272013509582559, 48.914987385627605], ""type"": ""Point""}",79,Bois-Colombes,Interconnexion,L15,48.914987385627605, 2.2720135095825587,Banlieue,Bois-Colombes
"48.729934252451855, 2.1613837430608083","{""coordinates"": [2.161383743060808, 48.729934252451855], ""type"": ""Point""}",82,CEA Saint-Aubin,Non,L18,48.729934252451855, 2.1613837430608083,Banlieue,Saclay
"48.71536419480408, 2.2009585832079868","{""coordinates"": [2.200958583207987, 48.71536419480408], ""type"": ""Point""}",83,Palaiseau,Non,L18,48.71536419480408, 2.2009585832079868,Banlieue,Palaiseau
"48.945530309114524, 2.4627419442570635","{""coordinates"": [2.462741944257063, 48.945530309114524], ""type"": ""Point""}",87,Le Blanc-Mesnil,Non,L16,48.945530309114524, 2.4627419442570635,Banlieue,Le Blanc-Mesnil
"48.93058045704873, 2.422115109237471","{""coordinates"": [2.422115109237471, 48.93058045704873], ""type"": ""Point""}",88,Le Bourget RER,Interconnexion,L16/L17,48.93058045704873, 2.422115109237471,Banlieue,Le Bourget
"48.72514427813822, 2.2584664922454603","{""coordinates"": [2.25846649224546, 48.72514427813822], ""type"": ""Point""}",89,Massy - Palaiseau,Interconnexion,L18,48.72514427813822, 2.2584664922454603,Banlieue,Massy
"48.71215046689281, 2.173294535262749","{""coordinates"": [2.173294535262749, 48.71215046689281], ""type"": ""Point""}",90,Orsay - Gif,Non,L18,48.71215046689281, 2.173294535262749,Banlieue,Orsay
"48.82142330304046, 2.3590830775080582","{""coordinates"": [2.359083077508058, 48.82142330304046], ""type"": ""Point""}",91,Maison Blanche - Paris XIIIe,Interconnexion,L14,48.82142330304046, 2.3590830775080582,13ème Ardt,Paris
"48.91768277512885, 2.346560389198723","{""coordinates"": [2.346560389198723, 48.91768277512885], ""type"": ""Point""}",92,Saint-Denis Pleyel,Interconnexion,L14/L15/L16/L17,48.91768277512885, 2.346560389198723,Banlieue,Saint-Denis
