Identifiant station,Nom station,Station en fonctionnement,CapacitÃ© de la station,Nombre bornettes libres,Nombre total vÃ©los disponibles,VÃ©los mÃ©caniques disponibles,VÃ©los Ã©lectriques disponibles,Borne de paiement disponible,Retour vÃ©lib possible,Actualisation de la donnÃ©e,CoordonnÃ©es gÃ©ographiques,Nom communes Ã©quipÃ©es,Code INSEE communes Ã©quipÃ©es,station_velib_plus,geometry,Latitude,Longitude,arrondissement,quartier
44015,Rouget de L'isle - Watteau,NON,0,0,0,0,0,NON,NON,2023-02-09T10:35:37+01:00,"48.778192750803, 2.3963020229163",Vitry-sur-Seine,,FALSE,,48.778192750803,2.3963020229163,Banlieue,Banlieue
16107,Benjamin Godard - Victor Hugo,OUI,35,32,3,1,2,OUI,OUI,2023-06-05T08:29:35+02:00,"48.865983, 2.275725",Paris,,FALSE,,48.865983,2.275725,16ème Ardt,Porte-Dauphine
8026,Messine - Place Du PÃ©rou,OUI,12,1,11,5,6,OUI,OUI,2023-06-05T08:24:54+02:00,"48.875448033960744, 2.315508019010038",Paris,,FALSE,,48.875448033960744,2.315508019010038,8ème Ardt,Europe
31104,Mairie de Rosny-sous-Bois,OUI,30,21,9,3,6,OUI,OUI,2023-06-05T08:28:44+02:00,"48.871256519012, 2.4865807592869",Rosny-sous-Bois,,FALSE,,48.871256519012,2.4865807592869,Banlieue,Banlieue
6003,Saint-Sulpice,OUI,21,20,1,1,0,OUI,OUI,2023-06-05T08:26:33+02:00,"48.85165383178419, 2.3308077827095985",Paris,,FALSE,,48.85165383178419,2.3308077827095985,6ème Ardt,Notre-Dame-des-Champs
9020,Toudouze - Clauzel,OUI,21,20,1,1,0,OUI,OUI,2023-06-05T08:22:09+02:00,"48.87929591733507, 2.3373600840568547",Paris,,FALSE,,48.87929591733507,2.3373600840568547,9ème Ardt,Saint-Georges
30002,Jean Rostand - Paul Vaillant Couturier,NON,0,0,0,0,0,NON,NON,2023-04-05T11:45:11+02:00,"48.908168131015, 2.4530601033354",Bobigny,,FALSE,,48.908168131015,2.4530601033354,Banlieue,Banlieue
12109,Mairie du 12Ã¨me,OUI,30,25,4,3,1,OUI,OUI,2023-06-05T08:30:07+02:00,"48.840855311763, 2.3875549435616",Paris,,FALSE,,48.840855311763,2.3875549435616,12ème Ardt,Bercy
5110,LacÃ©pÃ¨de - Monge,OUI,23,21,1,1,0,OUI,OUI,2023-06-05T08:22:57+02:00,"48.84389286531899, 2.3519663885235786",Paris,,FALSE,,48.84389286531899,2.3519663885235786,5ème Ardt,Saint-Victor
14111,Cassini - Denfert-Rochereau,OUI,25,20,5,3,2,OUI,OUI,2023-06-05T08:30:55+02:00,"48.837525839067, 2.3360354080796",Paris,,FALSE,,48.837525839067,2.3360354080796,14ème Ardt,Montparnasse
