Gare,Coordonnées,Ligne,Nombre de stations (100m),Nombre de stations (200m),Nombre de stations (300m),Nombre de stations (400m)
Boussy-Saint-Antoine,"48.68101661540746, 2.533130656571037",RER D,0.0,,,
Boussy-Saint-Antoine,"48.68101661540746, 2.533130656571037",RER D,,0.0,,
Boussy-Saint-Antoine,"48.68101661540746, 2.533130656571037",RER D,,,0.0,
Boussy-Saint-Antoine,"48.68101661540746, 2.533130656571037",RER D,,,,0.0
Brétigny,"48.60674494801255, 2.3020596915826386",RER C,0.0,,,
Brétigny,"48.60674494801255, 2.3020596915826386",RER C,,0.0,,
Brétigny,"48.60674494801255, 2.3020596915826386",RER C,,,0.0,
Brétigny,"48.60674494801255, 2.3020596915826386",RER C,,,,0.0
Aéroport Charles De Gaulle 1,"49.00975645120457, 2.5612326952251054",RER B,0.0,,,
Aéroport Charles De Gaulle 1,"49.00975645120457, 2.5612326952251054",RER B,,0.0,,
Aéroport Charles De Gaulle 1,"49.00975645120457, 2.5612326952251054",RER B,,,0.0,
Aéroport Charles De Gaulle 1,"49.00975645120457, 2.5612326952251054",RER B,,,,0.0
Arcueil-Cachan,"48.798892499145914, 2.3281369230647506",RER B,0.0,,,
Arcueil-Cachan,"48.798892499145914, 2.3281369230647506",RER B,,1.0,,
Arcueil-Cachan,"48.798892499145914, 2.3281369230647506",RER B,,,1.0,
Arcueil-Cachan,"48.798892499145914, 2.3281369230647506",RER B,,,,1.0
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",TRAIN K,0.0,,,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",TRAIN K,,0.0,,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",TRAIN K,,,0.0,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",TRAIN K,,,,0.0
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",RER B,0.0,,,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",RER B,,0.0,,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",RER B,,,0.0,
Aulnay-sous-Bois,"48.932196005027805, 2.495513142584313",RER B,,,,0.0
Avenue du Président Kennedy,"48.85364805623443, 2.2794870649625656",RER C,0.0,,,
Avenue du Président Kennedy,"48.85364805623443, 2.2794870649625656",RER C,,1.0,,
Avenue du Président Kennedy,"48.85364805623443, 2.2794870649625656",RER C,,,3.0,
Avenue du Président Kennedy,"48.85364805623443, 2.2794870649625656",RER C,,,,3.0
Dourdan,"48.533732833041356, 2.0087718138734374",RER C,0.0,,,
Dourdan,"48.533732833041356, 2.0087718138734374",RER C,,0.0,,
Dourdan,"48.533732833041356, 2.0087718138734374",RER C,,,0.0,
Dourdan,"48.533732833041356, 2.0087718138734374",RER C,,,,0.0
Enghien-Les-Bains,"48.972749118825284, 2.3071370320715325",TRAIN H,0.0,,,
Enghien-Les-Bains,"48.972749118825284, 2.3071370320715325",TRAIN H,,0.0,,
Enghien-Les-Bains,"48.972749118825284, 2.3071370320715325",TRAIN H,,,0.0,
Enghien-Les-Bains,"48.972749118825284, 2.3071370320715325",TRAIN H,,,,0.0
Cergy-Saint-Christophe,"49.04964700432274, 2.0342944618526615",TRAIN L,0.0,,,
Cergy-Saint-Christophe,"49.04964700432274, 2.0342944618526615",TRAIN L,,0.0,,
Cergy-Saint-Christophe,"49.04964700432274, 2.0342944618526615",TRAIN L,,,0.0,
Cergy-Saint-Christophe,"49.04964700432274, 2.0342944618526615",TRAIN L,,,,0.0
Champigny,"48.806985070711534, 2.5103072371156405",RER A,0.0,,,
Champigny,"48.806985070711534, 2.5103072371156405",RER A,,0.0,,
Champigny,"48.806985070711534, 2.5103072371156405",RER A,,,0.0,
Champigny,"48.806985070711534, 2.5103072371156405",RER A,,,,0.0
Chaville-Vélizy,"48.799728824409215, 2.1836841098542354",RER C,0.0,,,
Chaville-Vélizy,"48.799728824409215, 2.1836841098542354",RER C,,0.0,,
Chaville-Vélizy,"48.799728824409215, 2.1836841098542354",RER C,,,0.0,
Chaville-Vélizy,"48.799728824409215, 2.1836841098542354",RER C,,,,0.0
Combs-la-Ville - Quincy,"48.66790196011456, 2.547548045814365",RER D,0.0,,,
Combs-la-Ville - Quincy,"48.66790196011456, 2.547548045814365",RER D,,0.0,,
Combs-la-Ville - Quincy,"48.66790196011456, 2.547548045814365",RER D,,,0.0,
Combs-la-Ville - Quincy,"48.66790196011456, 2.547548045814365",RER D,,,,0.0
Gennevilliers,"48.93289616551451, 2.307943234074897",RER C,0.0,,,
Gennevilliers,"48.93289616551451, 2.307943234074897",RER C,,1.0,,
Gennevilliers,"48.93289616551451, 2.307943234074897",RER C,,,1.0,
Gennevilliers,"48.93289616551451, 2.307943234074897",RER C,,,,1.0
Gentilly,"48.815229933781644, 2.3408911324445945",RER B,0.0,,,
Gentilly,"48.815229933781644, 2.3408911324445945",RER B,,1.0,,
Gentilly,"48.815229933781644, 2.3408911324445945",RER B,,,2.0,
Gentilly,"48.815229933781644, 2.3408911324445945",RER B,,,,2.0
Gif-sur-Yvette,"48.69819697536674, 2.1365667170583604",RER B,0.0,,,
Gif-sur-Yvette,"48.69819697536674, 2.1365667170583604",RER B,,0.0,,
Gif-sur-Yvette,"48.69819697536674, 2.1365667170583604",RER B,,,0.0,
Gif-sur-Yvette,"48.69819697536674, 2.1365667170583604",RER B,,,,0.0
Herblay,"48.99028999544205, 2.1619066055921574",TRAIN J,0.0,,,
Herblay,"48.99028999544205, 2.1619066055921574",TRAIN J,,0.0,,
Herblay,"48.99028999544205, 2.1619066055921574",TRAIN J,,,0.0,
Herblay,"48.99028999544205, 2.1619066055921574",TRAIN J,,,,0.0
Ermont-Eaubonne,"48.9802459057471, 2.269132274132826",TRAIN J,0.0,,,
Ermont-Eaubonne,"48.9802459057471, 2.269132274132826",TRAIN J,,0.0,,
Ermont-Eaubonne,"48.9802459057471, 2.269132274132826",TRAIN J,,,0.0,
Ermont-Eaubonne,"48.9802459057471, 2.269132274132826",TRAIN J,,,,0.0
Fontainebleau Avon,"48.41637703207025, 2.726661533081672",TRAIN R,0.0,,,
Fontainebleau Avon,"48.41637703207025, 2.726661533081672",TRAIN R,,0.0,,
Fontainebleau Avon,"48.41637703207025, 2.726661533081672",TRAIN R,,,0.0,
Fontainebleau Avon,"48.41637703207025, 2.726661533081672",TRAIN R,,,,0.0
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,0.0,,,
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,,0.0,,
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,,,3.0,
