Code commune,Nom commune,Pop_2020,COD_DEP,Seg_population
75056,Paris,2145906,75,Grande population
77001,Achères-la-Forêt,1151,77,Petite population
77002,Amillis,819,77,Petite population
77003,Amponville,342,77,Petite population
77004,Andrezel,299,77,Petite population
77005,Annet-sur-Marne,3305,77,Petite population
77006,Arbonne-la-Forêt,978,77,Petite population
77007,Argentières,355,77,Petite population
77008,Armentières-en-Brie,1213,77,Petite population
77009,Arville,129,77,Petite population
77010,Aubepierre-Ozouer-le-Repos,941,77,Petite population
77011,Aufferville,491,77,Petite population
77012,Augers-en-Brie,292,77,Petite population
77013,Aulnoy,361,77,Petite population
77014,Avon,13545,77,Population moyenne
77015,Baby,100,77,Petite population
77016,Bagneaux-sur-Loing,1607,77,Petite population
77018,Bailly-Romainvilliers,7288,77,Petite population
77019,Balloy,335,77,Petite population
77020,Bannost-Villegagnon,649,77,Petite population
77021,Barbey,154,77,Petite population
77022,Barbizon,1245,77,Petite population
77023,Barcy,359,77,Petite population
77024,Bassevelle,393,77,Petite population
77025,Bazoches-lès-Bray,872,77,Petite population
77026,Beauchery-Saint-Martin,354,77,Petite population
77027,Beaumont-du-Gâtinais,1175,77,Petite population
77029,Beauvoir,185,77,Petite population
77030,Bellot,773,77,Petite population
77031,Bernay-Vilbert,946,77,Petite population
77032,Beton-Bazoches,924,77,Petite population
77033,Bezalles,230,77,Petite population
77034,Blandy,782,77,Petite population
77035,Blennes,546,77,Petite population
77036,Boisdon,134,77,Petite population
77037,Bois-le-Roi,5933,77,Petite population
77038,Boissettes,413,77,Petite population
77039,Boissise-la-Bertrand,1169,77,Petite population
77040,Boissise-le-Roi,3712,77,Petite population
77041,Boissy-aux-Cailles,278,77,Petite population
77042,Boissy-le-Châtel,3249,77,Petite population
77043,Boitron,334,77,Petite population
77044,Bombon,952,77,Petite population
77045,Bougligny,721,77,Petite population
77046,Boulancourt,329,77,Petite population
77047,Bouleurs,1698,77,Petite population
77048,Bourron-Marlotte,2768,77,Petite population
77049,Boutigny,837,77,Petite population
77050,Bransles,528,77,Petite population
77051,Bray-sur-Seine,2337,77,Petite population
77052,Bréau,361,77,Petite population
77053,Brie-Comte-Robert,19161,77,Population moyenne
77054,La Brosse-Montceaux,721,77,Petite population
77055,Brou-sur-Chantereine,4890,77,Petite population
77056,Burcy,147,77,Petite population
77057,Bussières,539,77,Petite population
77058,Bussy-Saint-Georges,26551,77,Population moyenne
77059,Bussy-Saint-Martin,676,77,Petite population
77060,Buthiers,730,77,Petite population
77061,Cannes-Écluse,2575,77,Petite population
77062,Carnetin,456,77,Petite population
77063,La Celle-sur-Morin,1251,77,Petite population
77065,Cély,1247,77,Petite population
77066,Cerneux,310,77,Petite population
77067,Cesson,10937,77,Population moyenne
77068,Cessoy-en-Montois,215,77,Petite population
77069,Chailly-en-Bière,2083,77,Petite population
77070,Chailly-en-Brie,1520,77,Petite population
77071,Chaintreaux,842,77,Petite population
77072,Chalautre-la-Grande,678,77,Petite population
